PartitionKey,RowKey,Timestamp,list
101st,adjective,2016-01-29T23:07:05.051Z,"[""adjective:12212""]"
105,adjective,2016-01-29T23:06:35.056Z,"[""adjective:12117""]"
105th,adjective,2016-01-29T23:07:05.459Z,"[""adjective:12213""]"
10th,adjective,2016-01-29T23:06:47.419Z,"[""adjective:12159""]"
11,noun,2016-01-29T21:26:27.052Z,"[""noun:01,5,04,3,25,5,01,"",""adjective:12026""]"
11 november,noun,2016-01-29T21:57:00.974Z,"[""noun:01,5,03,3,029,0,20,2,1,00,0,""]"
11-plus,noun,2016-01-29T15:10:36.490Z,"[""noun:01,0,2,00,23,16,19,05,0,""]"
110,adjective,2016-01-29T23:06:35.459Z,"[""adjective:12118""]"
110th,adjective,2016-01-29T23:07:05.852Z,"[""adjective:12214""]"
115,adjective,2016-01-29T23:06:36.058Z,"[""adjective:12119""]"
115th,adjective,2016-01-29T23:07:06.248Z,"[""adjective:12215""]"
11th,adjective,2016-01-29T23:06:47.615Z,"[""adjective:12160""]"
12,noun,2016-01-29T21:26:27.456Z,"[""noun:01,5,04,3,25,5,02,"",""adjective:12027""]"
12-tone music,noun,2016-01-29T18:44:10.368Z,"[""noun:01,4,14,1,18,0,""]"
12-tone system,noun,2016-01-29T18:44:10.775Z,"[""noun:01,4,14,1,18,0,""]"
120,noun,2016-01-29T21:26:41.634Z,"[""noun:01,5,04,3,25,5,31,"",""adjective:12120""]"
120th,adjective,2016-01-29T23:07:06.568Z,"[""adjective:12216""]"
125,adjective,2016-01-29T23:06:36.853Z,"[""adjective:12121""]"
125th,adjective,2016-01-29T23:07:06.939Z,"[""adjective:12217""]"
12th,adjective,2016-01-29T23:06:47.816Z,"[""adjective:12161""]"
13,noun,2016-01-29T21:26:28.524Z,"[""noun:01,5,04,3,25,5,04,"",""adjective:12028""]"
130,adjective,2016-01-29T23:06:37.458Z,"[""adjective:12122""]"
130th,adjective,2016-01-29T23:07:07.262Z,"[""adjective:12218""]"
135,adjective,2016-01-29T23:06:38.054Z,"[""adjective:12123""]"
135th,adjective,2016-01-29T23:07:07.671Z,"[""adjective:12219""]"
13th,adjective,2016-01-29T23:06:48.017Z,"[""adjective:12162""]"
14,noun,2016-01-29T21:26:29.555Z,"[""noun:01,5,04,3,25,5,05,"",""adjective:12029""]"
14 july,noun,2016-01-29T21:57:35.694Z,"[""noun:01,5,03,3,029,0,20,4,12,""]"
140,adjective,2016-01-29T23:06:38.525Z,"[""adjective:12124""]"
140th,adjective,2016-01-29T23:07:08.063Z,"[""adjective:12220""]"
144,noun,2016-01-29T21:26:41.114Z,"[""noun:01,5,04,3,25,5,30,""]"
145,adjective,2016-01-29T23:06:39.124Z,"[""adjective:12125""]"
145th,adjective,2016-01-29T23:07:08.616Z,"[""adjective:12221""]"
14th,adjective,2016-01-29T23:06:48.216Z,"[""adjective:12163""]"
15,noun,2016-01-29T21:26:30.051Z,"[""noun:01,5,04,3,25,5,06,"",""adjective:12030""]"
15 august 1945,noun,2016-01-29T21:56:29.674Z,"[""noun:99,7711""]"
15 may organization,noun,2016-01-29T19:04:10.993Z,"[""noun:99,700""]"
15 minutes,noun,2016-01-29T21:58:14.172Z,"[""noun:01,5,15,09,""]"
150,adjective,2016-01-29T23:06:39.726Z,"[""adjective:12126""]"
150th,adjective,2016-01-29T23:07:09.684Z,"[""adjective:12222""]"
1530s,noun,2016-01-29T21:56:08.284Z,"[""noun:01,5,03,3,051,01,""]"
155,adjective,2016-01-29T23:06:40.128Z,"[""adjective:12127""]"
155th,adjective,2016-01-29T23:07:10.097Z,"[""adjective:12223""]"
15th,adjective,2016-01-29T23:06:48.416Z,"[""adjective:12164""]"
16,noun,2016-01-29T21:26:30.551Z,"[""noun:01,5,04,3,25,5,07,"",""adjective:12031""]"
16 pf,noun,2016-01-29T18:31:42.064Z,"[""noun:01,4,04,02,21,09,3,0,0,3,""]"
160,adjective,2016-01-29T23:06:40.660Z,"[""adjective:12128""]"
160th,adjective,2016-01-29T23:07:10.420Z,"[""adjective:12224""]"
165,adjective,2016-01-29T23:06:41.455Z,"[""adjective:12129""]"
165th,adjective,2016-01-29T23:07:10.814Z,"[""adjective:12225""]"
16th,adjective,2016-01-29T23:06:48.617Z,"[""adjective:12165""]"
17,noun,2016-01-29T21:26:30.972Z,"[""noun:01,5,04,3,25,5,08,"",""adjective:12032""]"
17 november,noun,2016-01-29T19:04:15.835Z,"[""noun:99,710""]"
170,adjective,2016-01-29T23:06:42.063Z,"[""adjective:12130""]"
170th,adjective,2016-01-29T23:07:11.215Z,"[""adjective:12226""]"
1728,noun,2016-01-29T21:26:42.882Z,"[""noun:01,5,04,3,25,5,34,""]"
175,adjective,2016-01-29T23:06:42.657Z,"[""adjective:12131""]"
1750s,noun,2016-01-29T21:56:11.374Z,"[""noun:01,5,03,3,051,10,""]"
175th,adjective,2016-01-29T23:07:11.615Z,"[""adjective:12227""]"
1760s,noun,2016-01-29T21:56:12.215Z,"[""noun:01,5,03,3,051,13,""]"
1770s,noun,2016-01-29T21:56:13.325Z,"[""noun:01,5,03,3,051,16,""]"
1780s,noun,2016-01-29T21:56:14.282Z,"[""noun:01,5,03,3,051,19,""]"
1790s,noun,2016-01-29T21:56:15.154Z,"[""noun:01,5,03,3,051,22,""]"
17th,adjective,2016-01-29T23:06:48.814Z,"[""adjective:12166""]"
18,noun,2016-01-29T21:26:31.434Z,"[""noun:01,5,04,3,25,5,09,"",""adjective:12033""]"
18-karat gold,noun,2016-01-29T21:44:07.036Z,"[""noun:01,3,14,00,05,00,01,""]"
180,adjective,2016-01-29T23:06:43.258Z,"[""adjective:12132""]"
180th,adjective,2016-01-29T23:07:12.016Z,"[""adjective:12228""]"
1820s,noun,2016-01-29T21:56:08.682Z,"[""noun:01,5,03,3,051,03,""]"
1830s,noun,2016-01-29T21:56:09.598Z,"[""noun:01,5,03,3,051,05,""]"
1840s,noun,2016-01-29T21:56:10.292Z,"[""noun:01,5,03,3,051,07,""]"
1850s,noun,2016-01-29T21:56:11.215Z,"[""noun:01,5,03,3,051,09,""]"
1860s,noun,2016-01-29T21:56:12.096Z,"[""noun:01,5,03,3,051,12,""]"
1870s,noun,2016-01-29T21:56:13.205Z,"[""noun:01,5,03,3,051,15,""]"
1880s,noun,2016-01-29T21:56:14.065Z,"[""noun:01,5,03,3,051,18,""]"
1890s,noun,2016-01-29T21:56:14.958Z,"[""noun:01,5,03,3,051,21,""]"
18th,adjective,2016-01-29T23:06:49.017Z,"[""adjective:12167""]"
19,noun,2016-01-29T21:26:31.993Z,"[""noun:01,5,04,3,25,5,10,"",""adjective:12034""]"
190,adjective,2016-01-29T23:06:43.856Z,"[""adjective:12133""]"
1900s,noun,2016-01-29T21:56:08.072Z,"[""noun:01,5,03,3,051,00,""]"
190th,adjective,2016-01-29T23:07:12.413Z,"[""adjective:12229""]"
1920s,noun,2016-01-29T21:56:08.482Z,"[""noun:01,5,03,3,051,02,""]"
1930s,noun,2016-01-29T21:56:09.407Z,"[""noun:01,5,03,3,051,04,""]"
1940s,noun,2016-01-29T21:56:10.143Z,"[""noun:01,5,03,3,051,06,""]"
1950s,noun,2016-01-29T21:56:11.091Z,"[""noun:01,5,03,3,051,08,""]"
1960s,noun,2016-01-29T21:56:11.973Z,"[""noun:01,5,03,3,051,11,""]"
1970s,noun,2016-01-29T21:56:13.011Z,"[""noun:01,5,03,3,051,14,""]"
1980s,noun,2016-01-29T21:56:13.779Z,"[""noun:01,5,03,3,051,17,""]"
1990s,noun,2016-01-29T21:56:14.752Z,"[""noun:01,5,03,3,051,20,""]"
19th,adjective,2016-01-29T23:06:49.215Z,"[""adjective:12168""]"
1st,adjective,2016-01-29T23:06:45.547Z,"[""adjective:12150""]"
1st baron beaverbrook,noun,2016-01-29T20:01:41.317Z,"[""noun:99,4551""]"
1st baron verulam,noun,2016-01-29T20:01:18.077Z,"[""noun:99,4498""]"
1st class,noun,2016-01-29T18:27:14.459Z,"[""noun:01,4,01,3,00,""]"
1st earl attlee,noun,2016-01-29T20:01:12.762Z,"[""noun:99,4487""]"
1st earl baldwin of bewdley,noun,2016-01-29T20:01:21.170Z,"[""noun:99,4506""]"
1st earl of balfour,noun,2016-01-29T20:01:22.412Z,"[""noun:99,4509""]"
1st lieutenant,noun,2016-01-29T19:44:41.516Z,"[""noun:00,2,00,050,43,52,07,05,0,4,0,""]"
1st viscount montgomery of alamein,noun,2016-01-29T20:14:28.139Z,"[""noun:99,6435""]"
1st-class mail,noun,2016-01-29T18:27:14.787Z,"[""noun:01,4,01,3,00,""]"
2,noun,2016-01-29T21:26:17.412Z,"[""noun:01,5,04,3,25,4,08,"",""adjective:12017""]"
2 chronicles,noun,2016-01-29T18:30:44.008Z,"[""noun:99,428""]"
2 esdras,noun,2016-01-29T18:31:22.282Z,"[""noun:99,514""]"
2 kings,noun,2016-01-29T18:30:43.230Z,"[""noun:99,426""]"
2 maccabees,noun,2016-01-29T18:31:23.830Z,"[""noun:99,518""]"
2 samuel,noun,2016-01-29T18:30:42.504Z,"[""noun:99,424""]"
2-dimensional,adjective,2016-01-29T22:38:47.512Z,"[""adjective:3681""]"
2-hitter,noun,2016-01-29T15:07:26.025Z,"[""noun:01,0,2,00,23,10,03,3,7,3,0,06,""]"
2-hydroxybenzoic acid,noun,2016-01-29T21:52:51.406Z,"[""noun:01,3,14,00,03,22,07,04,13,2,""]"
2-methylpropenoic acid,noun,2016-01-29T21:43:29.431Z,"[""noun:01,3,14,00,03,22,07,04,17,""]"
20,noun,2016-01-29T21:26:32.393Z,"[""noun:01,5,04,3,25,5,11,"",""adjective:12035""]"
200,adjective,2016-01-29T23:06:44.458Z,"[""adjective:12134""]"
200th,adjective,2016-01-29T23:07:12.815Z,"[""adjective:12230""]"
20th,adjective,2016-01-29T23:06:49.962Z,"[""adjective:12170""]"
21,noun,2016-01-29T21:26:32.595Z,"[""noun:01,5,04,3,25,5,12,"",""adjective:12036""]"
21st,adjective,2016-01-29T23:06:50.362Z,"[""adjective:12171""]"
22,noun,2016-01-29T21:26:32.922Z,"[""noun:01,5,04,3,25,5,13,"",""adjective:12037""]"
22-karat gold,noun,2016-01-29T21:44:08.547Z,"[""noun:01,3,14,00,05,00,02,""]"
22nd,adjective,2016-01-29T23:06:50.679Z,"[""adjective:12172""]"
23,noun,2016-01-29T21:26:33.413Z,"[""noun:01,5,04,3,25,5,14,"",""adjective:12038""]"
23rd,adjective,2016-01-29T23:06:51.083Z,"[""adjective:12173""]"
24,noun,2016-01-29T21:26:34.016Z,"[""noun:01,5,04,3,25,5,15,"",""adjective:12039""]"
24-hour interval,noun,2016-01-29T21:56:19.715Z,"[""noun:01,5,15,00,""]"
24-karat gold,noun,2016-01-29T21:44:08.734Z,"[""noun:01,3,14,00,07,03,02,0,0,""]"
24th,adjective,2016-01-29T23:06:51.402Z,"[""adjective:12174""]"
25,noun,2016-01-29T21:26:34.739Z,"[""noun:01,5,04,3,25,5,16,"",""adjective:12040""]"
25th,adjective,2016-01-29T23:06:51.806Z,"[""adjective:12175""]"
26,noun,2016-01-29T21:26:35.322Z,"[""noun:01,5,04,3,25,5,17,"",""adjective:12041""]"
26th,adjective,2016-01-29T23:06:52.210Z,"[""adjective:12176""]"
27,noun,2016-01-29T21:26:35.812Z,"[""noun:01,5,04,3,25,5,18,"",""adjective:12042""]"
27th,adjective,2016-01-29T23:06:52.607Z,"[""adjective:12177""]"
28,noun,2016-01-29T21:26:36.412Z,"[""noun:01,5,04,3,25,5,19,"",""adjective:12043""]"
28th,adjective,2016-01-29T23:06:53.006Z,"[""adjective:12178""]"
29,noun,2016-01-29T21:26:36.889Z,"[""noun:01,5,04,3,25,5,20,"",""adjective:12044""]"
29th,adjective,2016-01-29T23:06:53.415Z,"[""adjective:12179""]"
2d,adjective,2016-01-29T23:06:45.947Z,"[""adjective:12151""]"
2nd,adjective,2016-01-29T23:06:45.751Z,"[""adjective:12151""]"
2nd lieutenant,noun,2016-01-29T19:55:34.921Z,"[""noun:00,2,00,050,43,52,07,05,0,4,1,""]"
3,noun,2016-01-29T21:26:18.576Z,"[""noun:01,5,04,3,25,4,09,"",""adjective:12018""]"
3-d,noun,2016-01-29T18:21:52.519Z,"[""noun:01,0,0,15,10,12,1,"",""noun:01,0,2,05,0,01,16,""]"
3-dimensional,adjective,2016-01-29T22:38:47.712Z,"[""adjective:3682""]"
3-hitter,noun,2016-01-29T15:07:26.382Z,"[""noun:01,0,2,00,23,10,03,3,7,3,0,07,""]"
3-membered,adjective,2016-01-29T22:54:41.025Z,"[""adjective:8245""]"
30,noun,2016-01-29T21:26:37.389Z,"[""noun:01,5,04,3,25,5,21,"",""adjective:12045""]"
30 minutes,noun,2016-01-29T21:58:13.862Z,"[""noun:01,5,15,08,""]"
300,adjective,2016-01-29T23:06:44.814Z,"[""adjective:12135""]"
